docname,topic,proportion
shorten_highTemp.txt:3237,012,1.0
shorten_highTemp.txt:3272,002,1.0
shorten_highTemp.txt:3307,001,1.0
shorten_highTemp.txt:3342,002,1.0
shorten_highTemp.txt:3377,000,1.0
shorten_highTemp.txt:3412,003,1.0
shorten_highTemp.txt:3447,012,1.0
shorten_highTemp.txt:3482,003,1.0
shorten_highTemp.txt:3517,000,1.0
shorten_highTemp.txt:3552,012,1.0
shorten_highTemp.txt:3587,003,1.0
shorten_highTemp.txt:3622,001,1.0
shorten_highTemp.txt:3657,002,1.0
shorten_highTemp.txt:3692,001,1.0
shorten_highTemp.txt:3727,001,1.0
shorten_highTemp.txt:3762,002,1.0
shorten_highTemp.txt:3797,005,1.0
shorten_highTemp.txt:3832,000,1.0
shorten_highTemp.txt:3867,000,1.0
shorten_highTemp.txt:3902,001,1.0
shorten_highTemp.txt:3937,003,1.0
shorten_highTemp.txt:3972,001,1.0
shorten_highTemp.txt:4007,009,1.0
shorten_highTemp.txt:4042,000,1.0
shorten_highTemp.txt:4077,002,1.0
shorten_highTemp.txt:4112,003,1.0
shorten_highTemp.txt:4147,002,1.0
shorten_highTemp.txt:4182,002,1.0
shorten_highTemp.txt:4217,003,1.0
shorten_highTemp.txt:4252,003,1.0
shorten_highTemp.txt:4287,003,1.0
shorten_highTemp.txt:4322,012,1.0
shorten_highTemp.txt:4357,000,1.0
shorten_highTemp.txt:4392,003,1.0
shorten_highTemp.txt:4427,000,1.0
shorten_highTemp.txt:4462,000,1.0
shorten_highTemp.txt:4497,000,1.0
shorten_highTemp.txt:4532,000,1.0
shorten_highTemp.txt:4567,003,1.0
shorten_highTemp.txt:4602,002,1.0
shorten_highTemp.txt:4637,002,1.0
shorten_highTemp.txt:4672,000,1.0
shorten_highTemp.txt:4707,003,1.0
shorten_highTemp.txt:4742,000,1.0
shorten_highTemp.txt:4777,001,1.0
shorten_highTemp.txt:4812,000,1.0
shorten_highTemp.txt:4847,002,1.0
shorten_highTemp.txt:4882,000,1.0
shorten_highTemp.txt:4917,003,1.0
shorten_highTemp.txt:4952,002,1.0
shorten_highTemp.txt:4987,002,1.0
shorten_highTemp.txt:28,007,1.0
shorten_highTemp.txt:63,000,0.613196
shorten_highTemp.txt:63,001,0.386804
shorten_highTemp.txt:98,003,1.0
shorten_highTemp.txt:133,000,1.0
shorten_highTemp.txt:168,012,1.0
shorten_highTemp.txt:203,005,1.0
shorten_highTemp.txt:238,000,1.0
shorten_highTemp.txt:273,002,1.0
shorten_highTemp.txt:308,002,1.0
shorten_highTemp.txt:343,001,1.0
shorten_highTemp.txt:378,002,1.0
shorten_highTemp.txt:413,000,0.613196
shorten_highTemp.txt:413,001,0.386804
shorten_highTemp.txt:448,004,1.0
shorten_highTemp.txt:483,001,1.0
shorten_highTemp.txt:518,000,1.0
shorten_highTemp.txt:553,001,1.0
shorten_highTemp.txt:588,002,1.0
shorten_highTemp.txt:623,000,1.0
shorten_highTemp.txt:658,007,1.0
shorten_highTemp.txt:693,004,1.0
shorten_highTemp.txt:728,000,1.0
shorten_highTemp.txt:763,001,1.0
shorten_highTemp.txt:798,000,1.0
shorten_highTemp.txt:833,001,1.0
shorten_highTemp.txt:868,003,1.0
shorten_highTemp.txt:903,000,1.0
shorten_highTemp.txt:938,000,0.613196
